,gtfs_route_id,service_date,peak_offpeak_ind,otp_numerator,otp_denominator
0,751,2018-01-01,OFF_PEAK,818.0,1012.0
1,43,2018-01-01,OFF_PEAK,314.0,394.0
2,749,2018-01-01,OFF_PEAK,1836.0,2195.0
3,1,2018-01-01,OFF_PEAK,689.0,1183.0
4,43,2018-01-02,OFF_PEAK,244.0,350.0
5,43,2018-01-02,PEAK,111.0,140.0
6,1,2018-01-02,OFF_PEAK,1136.0,1398.0
7,751,2018-01-02,OFF_PEAK,936.0,1142.0
8,749,2018-01-02,PEAK,611.0,689.0
9,749,2018-01-02,OFF_PEAK,1779.0,2039.0
10,751,2018-01-02,PEAK,301.0,361.0
11,1,2018-01-02,PEAK,418.0,556.0
12,751,2018-01-03,OFF_PEAK,886.0,1197.0
13,751,2018-01-03,PEAK,321.0,394.0
14,749,2018-01-03,OFF_PEAK,1713.0,2182.0
15,749,2018-01-03,PEAK,681.0,852.0
16,1,2018-01-03,PEAK,255.0,421.0
17,1,2018-01-03,OFF_PEAK,838.0,1239.0
18,43,2018-01-03,PEAK,59.0,140.0
19,43,2018-01-03,OFF_PEAK,219.0,352.0
20,43,2018-01-04,OFF_PEAK,205.0,316.0
21,43,2018-01-04,PEAK,54.0,94.0
22,1,2018-01-04,PEAK,366.0,477.0
23,1,2018-01-04,OFF_PEAK,939.0,1196.0
24,751,2018-01-04,PEAK,352.0,402.0
25,751,2018-01-04,OFF_PEAK,853.0,1054.0
26,749,2018-01-04,PEAK,476.0,605.0
27,749,2018-01-04,OFF_PEAK,1528.0,1875.0
28,751,2018-01-05,OFF_PEAK,878.0,1118.0
29,751,2018-01-05,PEAK,172.0,289.0
30,749,2018-01-05,OFF_PEAK,1518.0,2077.0
31,749,2018-01-05,PEAK,515.0,738.0
32,1,2018-01-05,OFF_PEAK,744.0,1015.0
33,1,2018-01-05,PEAK,263.0,358.0
34,43,2018-01-05,OFF_PEAK,171.0,354.0
35,43,2018-01-05,PEAK,95.0,140.0
36,43,2018-01-06,OFF_PEAK,193.0,477.0
37,751,2018-01-06,OFF_PEAK,945.0,1268.0
38,749,2018-01-06,OFF_PEAK,2318.0,3125.0
39,1,2018-01-06,OFF_PEAK,1199.0,1572.0
40,43,2018-01-07,OFF_PEAK,215.0,414.0
41,1,2018-01-07,OFF_PEAK,765.0,1118.0
42,751,2018-01-07,OFF_PEAK,1124.0,1405.0
43,749,2018-01-07,OFF_PEAK,2224.0,2980.0
44,751,2018-01-08,PEAK,287.0,473.0
45,751,2018-01-08,OFF_PEAK,889.0,1130.0
46,749,2018-01-08,PEAK,409.0,615.0
47,749,2018-01-08,OFF_PEAK,1401.0,1762.0
48,1,2018-01-08,PEAK,287.0,432.0
49,1,2018-01-08,OFF_PEAK,908.0,1205.0
50,43,2018-01-08,OFF_PEAK,124.0,331.0
51,43,2018-01-08,PEAK,14.0,130.0
52,43,2018-01-09,PEAK,20.0,134.0
53,43,2018-01-09,OFF_PEAK,124.0,317.0
54,1,2018-01-09,PEAK,273.0,383.0
55,751,2018-01-09,PEAK,230.0,356.0
56,749,2018-01-09,OFF_PEAK,976.0,1254.0
57,749,2018-01-09,PEAK,454.0,592.0
58,751,2018-01-09,OFF_PEAK,743.0,1049.0
59,1,2018-01-09,OFF_PEAK,719.0,1039.0
60,43,2018-01-10,PEAK,34.0,137.0
61,43,2018-01-10,OFF_PEAK,202.0,343.0
62,1,2018-01-10,PEAK,312.0,493.0
63,749,2018-01-10,OFF_PEAK,1646.0,2099.0
64,749,2018-01-10,PEAK,593.0,823.0
65,751,2018-01-10,OFF_PEAK,1077.0,1353.0
66,751,2018-01-10,PEAK,307.0,434.0
67,1,2018-01-10,OFF_PEAK,875.0,1239.0
68,43,2018-01-11,OFF_PEAK,149.0,309.0
69,1,2018-01-11,PEAK,275.0,421.0
70,1,2018-01-11,OFF_PEAK,878.0,1225.0
71,43,2018-01-11,PEAK,73.0,140.0
72,749,2018-01-11,PEAK,559.0,756.0
73,751,2018-01-11,OFF_PEAK,1010.0,1274.0
74,751,2018-01-11,PEAK,308.0,496.0
75,749,2018-01-11,OFF_PEAK,1705.0,2246.0
76,751,2018-01-12,OFF_PEAK,711.0,967.0
77,751,2018-01-12,PEAK,302.0,457.0
78,749,2018-01-12,OFF_PEAK,1274.0,1760.0
79,749,2018-01-12,PEAK,529.0,771.0
80,1,2018-01-12,PEAK,273.0,420.0
81,43,2018-01-12,PEAK,59.0,134.0
82,43,2018-01-12,OFF_PEAK,176.0,348.0
83,1,2018-01-12,OFF_PEAK,661.0,960.0
84,751,2018-01-13,OFF_PEAK,1118.0,1404.0
85,43,2018-01-13,OFF_PEAK,353.0,517.0
86,1,2018-01-13,OFF_PEAK,1274.0,1731.0
87,749,2018-01-13,OFF_PEAK,2121.0,2642.0
88,749,2018-01-14,OFF_PEAK,2281.0,2916.0
89,43,2018-01-14,OFF_PEAK,293.0,412.0
90,1,2018-01-14,OFF_PEAK,836.0,1195.0
91,751,2018-01-14,OFF_PEAK,1328.0,1576.0
92,1,2018-01-15,OFF_PEAK,1367.0,1785.0
93,749,2018-01-15,OFF_PEAK,2769.0,3205.0
94,43,2018-01-15,OFF_PEAK,404.0,514.0
95,751,2018-01-15,OFF_PEAK,1677.0,1884.0
96,751,2018-01-16,PEAK,387.0,490.0
97,751,2018-01-16,OFF_PEAK,1097.0,1308.0
98,749,2018-01-16,PEAK,473.0,556.0
99,749,2018-01-16,OFF_PEAK,1519.0,1803.0
100,1,2018-01-16,OFF_PEAK,1029.0,1282.0
101,1,2018-01-16,PEAK,380.0,507.0
102,43,2018-01-16,OFF_PEAK,256.0,358.0
103,43,2018-01-16,PEAK,104.0,140.0
104,43,2018-01-17,OFF_PEAK,243.0,357.0
105,43,2018-01-17,PEAK,77.0,140.0
106,1,2018-01-17,OFF_PEAK,988.0,1255.0
