gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
Red,,Red Line,Rapid Transit,Red Line,Rail,2018-01-01,OFF_PEAK,Passenger Wait Time,88683.84457,100599.1372,
Red,,Red Line,Rapid Transit,Red Line,Rail,2018-01-01,PEAK,Passenger Wait Time,69497.15384,76869.31543,
Orange,,Orange Line,Rapid Transit,Orange Line,Rail,2018-01-01,PEAK,Passenger Wait Time,60556.386,69294.40831,
Orange,,Orange Line,Rapid Transit,Orange Line,Rail,2018-01-01,OFF_PEAK,Passenger Wait Time,85650.23313,94764.73366,
Green-B,B,Green Line B,Rapid Transit,Green Line,Rail,2018-01-01,PEAK,Passenger Wait Time,6903.963093,9085.190096,
Green-B,B,Green Line B,Rapid Transit,Green Line,Rail,2018-01-01,OFF_PEAK,Passenger Wait Time,12009.69549,18021.46753,
Green-C,C,Green Line C,Rapid Transit,Green Line,Rail,2018-01-01,OFF_PEAK,Passenger Wait Time,21470.31577,28199.51103,
Green-C,C,Green Line C,Rapid Transit,Green Line,Rail,2018-01-01,PEAK,Passenger Wait Time,12803.85182,16312.66625,
Green-D,D,Green Line D,Rapid Transit,Green Line,Rail,2018-01-01,OFF_PEAK,Passenger Wait Time,18893.92153,24477.98273,
Green-D,D,Green Line D,Rapid Transit,Green Line,Rail,2018-01-01,PEAK,Passenger Wait Time,12823.56511,15447.28924,
Green-E,E,Green Line E,Rapid Transit,Green Line,Rail,2018-01-01,OFF_PEAK,Passenger Wait Time,27550.16332,33592.01102,
Green-E,E,Green Line E,Rapid Transit,Green Line,Rail,2018-01-01,PEAK,Passenger Wait Time,19177.2243,23351.25958,
Blue,,Blue Line,Rapid Transit,Blue Line,Rail,2018-01-01,OFF_PEAK,Passenger Wait Time,29485.05583,33262.11445,
Blue,,Blue Line,Rapid Transit,Blue Line,Rail,2018-01-01,PEAK,Passenger Wait Time,12140.03939,14147.64409,
741,SL1,Silver Line SL1,Rapid Transit,Silver Line,Bus,2018-01-01,OFF_PEAK,Headway / Schedule Adherence,1115,1298,
