gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
Red,,Red Line,Rapid Transit,Red Line,Rail,2018-02-01,OFF_PEAK,Passenger Wait Time,94101.06485,102432.3897,
Red,,Red Line,Rapid Transit,Red Line,Rail,2018-02-01,PEAK,Passenger Wait Time,68728.43292,75825.25015,
Orange,,Orange Line,Rapid Transit,Orange Line,Rail,2018-02-01,OFF_PEAK,Passenger Wait Time,97597.43743,102609.9557,
Orange,,Orange Line,Rapid Transit,Orange Line,Rail,2018-02-01,PEAK,Passenger Wait Time,72942.49114,77492.73439,
Green-B,B,Green Line B,Rapid Transit,Green Line,Rail,2018-02-01,OFF_PEAK,Passenger Wait Time,15373.143,19228.86307,
Green-B,B,Green Line B,Rapid Transit,Green Line,Rail,2018-02-01,PEAK,Passenger Wait Time,9632.767901,12771.73838,
Green-C,C,Green Line C,Rapid Transit,Green Line,Rail,2018-02-01,OFF_PEAK,Passenger Wait Time,20484.95963,27870.67184,
Green-C,C,Green Line C,Rapid Transit,Green Line,Rail,2018-02-01,PEAK,Passenger Wait Time,10199.38848,14790.98656,
Green-D,D,Green Line D,Rapid Transit,Green Line,Rail,2018-02-01,OFF_PEAK,Passenger Wait Time,19818.78557,26512.09632,
Green-D,D,Green Line D,Rapid Transit,Green Line,Rail,2018-02-01,PEAK,Passenger Wait Time,12011.75006,18011.89016,
Green-E,E,Green Line E,Rapid Transit,Green Line,Rail,2018-02-01,OFF_PEAK,Passenger Wait Time,25671.43759,34367.76216,
Green-E,E,Green Line E,Rapid Transit,Green Line,Rail,2018-02-01,PEAK,Passenger Wait Time,16788.52718,23423.79418,
Blue,,Blue Line,Rapid Transit,Blue Line,Rail,2018-02-01,OFF_PEAK,Passenger Wait Time,34279.96327,36626.52528,
Blue,,Blue Line,Rapid Transit,Blue Line,Rail,2018-02-01,PEAK,Passenger Wait Time,19101.98649,20536.80379,
741,SL1,Silver Line SL1,Rapid Transit,Silver Line,Bus,2018-02-01,PEAK,Headway / Schedule Adherence,226,256,
741,SL1,Silver Line SL1,Rapid Transit,Silver Line,Bus,2018-02-01,OFF_PEAK,Headway / Schedule Adherence,1031,1122,
742,SL2,Silver Line SL2,Rapid Transit,Silver Line,Bus,2018-02-01,PEAK,Headway / Schedule Adherence,225,265,
742,SL2,Silver Line SL2,Rapid Transit,Silver Line,Bus,2018-02-01,OFF_PEAK,Headway / Schedule Adherence,367,468,
751,SL4,Silver Line SL4,Rapid Transit,Silver Line,Bus,2018-02-01,OFF_PEAK,Headway / Schedule Adherence,1014,1351,
751,SL4,Silver Line SL4,Rapid Transit,Silver Line,Bus,2018-02-01,PEAK,Headway / Schedule Adherence,391,488,
