gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
Red,,Red Line,Rapid Transit,Red Line,Rail,2018-03-01,PEAK,Passenger Wait Time,72496.07124,78031.92705,
Red,,Red Line,Rapid Transit,Red Line,Rail,2018-03-01,OFF_PEAK,Passenger Wait Time,91068.44004,99681.23348,
Orange,,Orange Line,Rapid Transit,Orange Line,Rail,2018-03-01,PEAK,Passenger Wait Time,78795.2976,81076.68381,
Orange,,Orange Line,Rapid Transit,Orange Line,Rail,2018-03-01,OFF_PEAK,Passenger Wait Time,99324.53041,103554.7159,
Green-B,B,Green Line B,Rapid Transit,Green Line,Rail,2018-03-01,OFF_PEAK,Passenger Wait Time,20361.34043,25340.23858,
Green-B,B,Green Line B,Rapid Transit,Green Line,Rail,2018-03-01,PEAK,Passenger Wait Time,10693.72664,13578.41842,
Green-C,C,Green Line C,Rapid Transit,Green Line,Rail,2018-03-01,OFF_PEAK,Passenger Wait Time,21473.11778,26732.90725,
Green-C,C,Green Line C,Rapid Transit,Green Line,Rail,2018-03-01,PEAK,Passenger Wait Time,13637.80997,16911.26537,
Green-D,D,Green Line D,Rapid Transit,Green Line,Rail,2018-03-01,OFF_PEAK,Passenger Wait Time,22147.54788,28912.68197,
Green-D,D,Green Line D,Rapid Transit,Green Line,Rail,2018-03-01,PEAK,Passenger Wait Time,15638.1737,19164.47425,
Green-E,E,Green Line E,Rapid Transit,Green Line,Rail,2018-03-01,PEAK,Passenger Wait Time,18768.58612,22920.80613,
Green-E,E,Green Line E,Rapid Transit,Green Line,Rail,2018-03-01,OFF_PEAK,Passenger Wait Time,29110.55068,35293.21484,
Blue,,Blue Line,Rapid Transit,Blue Line,Rail,2018-03-01,OFF_PEAK,Passenger Wait Time,34367.61424,36058.9978,
Blue,,Blue Line,Rapid Transit,Blue Line,Rail,2018-03-01,PEAK,Passenger Wait Time,20185.22265,20734.52721,
741,SL1,Silver Line SL1,Rapid Transit,Silver Line,Bus,2018-03-01,PEAK,Headway / Schedule Adherence,127,149,
741,SL1,Silver Line SL1,Rapid Transit,Silver Line,Bus,2018-03-01,OFF_PEAK,Headway / Schedule Adherence,608,686,
742,SL2,Silver Line SL2,Rapid Transit,Silver Line,Bus,2018-03-01,PEAK,Headway / Schedule Adherence,175,201,
742,SL2,Silver Line SL2,Rapid Transit,Silver Line,Bus,2018-03-01,OFF_PEAK,Headway / Schedule Adherence,225,249,
751,SL4,Silver Line SL4,Rapid Transit,Silver Line,Bus,2018-03-01,OFF_PEAK,Headway / Schedule Adherence,1041,1367,
751,SL4,Silver Line SL4,Rapid Transit,Silver Line,Bus,2018-03-01,PEAK,Headway / Schedule Adherence,359,494,
749,SL5,Silver Line SL5,Rapid Transit,Silver Line,Bus,2018-03-01,OFF_PEAK,Headway / Schedule Adherence,1421,1868,
749,SL5,Silver Line SL5,Rapid Transit,Silver Line,Bus,2018-03-01,PEAK,Headway / Schedule Adherence,577,786,
CR-Fairmount,,Fairmount Line,Commuter Rail,,Commuter Rail,2018-03-01,PEAK,Headway / Schedule Adherence,8,9,0
CR-Fairmount,,Fairmount Line,Commuter Rail,,Commuter Rail,2018-03-01,OFF_PEAK,Headway / Schedule Adherence,28,28,0
CR-Fitchburg,,Fitchburg Line,Commuter Rail,,Commuter Rail,2018-03-01,PEAK,Headway / Schedule Adherence,11,14,0
CR-Fitchburg,,Fitchburg Line,Commuter Rail,,Commuter Rail,2018-03-01,OFF_PEAK,Headway / Schedule Adherence,23,24,0
CR-Worcester,,Framingham/Worcester Line,Commuter Rail,,Commuter Rail,2018-03-01,OFF_PEAK,Headway / Schedule Adherence,33,34,0
CR-Worcester,,Framingham/Worcester Line,Commuter Rail,,Commuter Rail,2018-03-01,PEAK,Headway / Schedule Adherence,17,21,0
CR-Franklin,,Franklin Line,Commuter Rail,,Commuter Rail,2018-03-01,PEAK,Headway / Schedule Adherence,15,15,0
CR-Franklin,,Franklin Line,Commuter Rail,,Commuter Rail,2018-03-01,OFF_PEAK,Headway / Schedule Adherence,26,26,0
CR-Greenbush,,Greenbush Line,Commuter Rail,,Commuter Rail,2018-03-01,OFF_PEAK,Headway / Schedule Adherence,14,14,0
CR-Greenbush,,Greenbush Line,Commuter Rail,,Commuter Rail,2018-03-01,PEAK,Headway / Schedule Adherence,10,10,0
CR-Haverhill,,Haverhill Line,Commuter Rail,,Commuter Rail,2018-03-01,PEAK,Headway / Schedule Adherence,14,16,0
CR-Haverhill,,Haverhill Line,Commuter Rail,,Commuter Rail,2018-03-01,OFF_PEAK,Headway / Schedule Adherence,24,28,0
CR-Kingston,,Kingston/Plymouth Line,Commuter Rail,,Commuter Rail,2018-03-01,PEAK,Headway / Schedule Adherence,9,9,0
CR-Kingston,,Kingston/Plymouth Line,Commuter Rail,,Commuter Rail,2018-03-01,OFF_PEAK,Headway / Schedule Adherence,15,15,0
CR-Lowell,,Lowell Line,Commuter Rail,,Commuter Rail,2018-03-01,PEAK,Headway / Schedule Adherence,10,15,0
CR-Lowell,,Lowell Line,Commuter Rail,,Commuter Rail,2018-03-01,OFF_PEAK,Headway / Schedule Adherence,32,35,0
CR-Middleborough,,Middleborough/Lakeville Line,Commuter Rail,,Commuter Rail,2018-03-01,OFF_PEAK,Headway / Schedule Adherence,13,14,0
CR-Middleborough,,Middleborough/Lakeville Line,Commuter Rail,,Commuter Rail,2018-03-01,PEAK,Headway / Schedule Adherence,10,10,0
CR-Needham,,Needham Line,Commuter Rail,,Commuter Rail,2018-03-01,PEAK,Headway / Schedule Adherence,10,10,0
CR-Needham,,Needham Line,Commuter Rail,,Commuter Rail,2018-03-01,OFF_PEAK,Headway / Schedule Adherence,20,22,0
CR-Newburyport,,Newburyport/Rockport Line,Commuter Rail,,Commuter Rail,2018-03-01,PEAK,Headway / Schedule Adherence,13,13,0
