gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
Red,,Red Line,Rapid Transit,Red Line,Rail,2018-04-01,OFF_PEAK,Passenger Wait Time,71242.47815,77279.45566,
Orange,,Orange Line,Rapid Transit,Orange Line,Rail,2018-04-01,OFF_PEAK,Passenger Wait Time,63728.51536,64902.76246,
Green-B,B,Green Line B,Rapid Transit,Green Line,Rail,2018-04-01,OFF_PEAK,Passenger Wait Time,20604.82982,24433.59554,
Green-C,C,Green Line C,Rapid Transit,Green Line,Rail,2018-04-01,OFF_PEAK,Passenger Wait Time,24448.92729,29210.05261,
Green-D,D,Green Line D,Rapid Transit,Green Line,Rail,2018-04-01,OFF_PEAK,Passenger Wait Time,22474.33562,27011.42603,
Green-E,E,Green Line E,Rapid Transit,Green Line,Rail,2018-04-01,OFF_PEAK,Passenger Wait Time,28125.0738,32157.92698,
Blue,,Blue Line,Rapid Transit,Blue Line,Rail,2018-04-01,OFF_PEAK,Passenger Wait Time,31237.82229,31592.12124,
741,SL1,Silver Line SL1,Rapid Transit,Silver Line,Bus,2018-04-01,OFF_PEAK,Headway / Schedule Adherence,541,690,
751,SL4,Silver Line SL4,Rapid Transit,Silver Line,Bus,2018-04-01,OFF_PEAK,Headway / Schedule Adherence,823,1156,
749,SL5,Silver Line SL5,Rapid Transit,Silver Line,Bus,2018-04-01,OFF_PEAK,Headway / Schedule Adherence,1987,2651,
CR-Fairmount,,Fairmount Line,Commuter Rail,,Commuter Rail,2018-04-01,PEAK,Headway / Schedule Adherence,0,0,0
CR-Fairmount,,Fairmount Line,Commuter Rail,,Commuter Rail,2018-04-01,OFF_PEAK,Headway / Schedule Adherence,32,32,0
CR-Fitchburg,,Fitchburg Line,Commuter Rail,,Commuter Rail,2018-04-01,OFF_PEAK,Headway / Schedule Adherence,13,14,0
CR-Fitchburg,,Fitchburg Line,Commuter Rail,,Commuter Rail,2018-04-01,PEAK,Headway / Schedule Adherence,0,0,0
CR-Worcester,,Framingham/Worcester Line,Commuter Rail,,Commuter Rail,2018-04-01,OFF_PEAK,Headway / Schedule Adherence,18,18,0
CR-Worcester,,Framingham/Worcester Line,Commuter Rail,,Commuter Rail,2018-04-01,PEAK,Headway / Schedule Adherence,0,0,0
CR-Franklin,,Franklin Line,Commuter Rail,,Commuter Rail,2018-04-01,OFF_PEAK,Headway / Schedule Adherence,14,14,0
CR-Franklin,,Franklin Line,Commuter Rail,,Commuter Rail,2018-04-01,PEAK,Headway / Schedule Adherence,0,0,0
CR-Greenbush,,Greenbush Line,Commuter Rail,,Commuter Rail,2018-04-01,PEAK,Headway / Schedule Adherence,0,0,0
CR-Greenbush,,Greenbush Line,Commuter Rail,,Commuter Rail,2018-04-01,OFF_PEAK,Headway / Schedule Adherence,13,16,0
CR-Haverhill,,Haverhill Line,Commuter Rail,,Commuter Rail,2018-04-01,PEAK,Headway / Schedule Adherence,0,0,0
CR-Haverhill,,Haverhill Line,Commuter Rail,,Commuter Rail,2018-04-01,OFF_PEAK,Headway / Schedule Adherence,12,12,0
CR-Kingston,,Kingston/Plymouth Line,Commuter Rail,,Commuter Rail,2018-04-01,OFF_PEAK,Headway / Schedule Adherence,14,16,0
CR-Kingston,,Kingston/Plymouth Line,Commuter Rail,,Commuter Rail,2018-04-01,PEAK,Headway / Schedule Adherence,0,0,0
CR-Lowell,,Lowell Line,Commuter Rail,,Commuter Rail,2018-04-01,PEAK,Headway / Schedule Adherence,0,0,0
CR-Lowell,,Lowell Line,Commuter Rail,,Commuter Rail,2018-04-01,OFF_PEAK,Headway / Schedule Adherence,12,16,0
CR-Middleborough,,Middleborough/Lakeville Line,Commuter Rail,,Commuter Rail,2018-04-01,PEAK,Headway / Schedule Adherence,0,0,0
CR-Middleborough,,Middleborough/Lakeville Line,Commuter Rail,,Commuter Rail,2018-04-01,OFF_PEAK,Headway / Schedule Adherence,15,16,0
CR-Newburyport,,Newburyport/Rockport Line,Commuter Rail,,Commuter Rail,2018-04-01,PEAK,Headway / Schedule Adherence,0,0,0
CR-Newburyport,,Newburyport/Rockport Line,Commuter Rail,,Commuter Rail,2018-04-01,OFF_PEAK,Headway / Schedule Adherence,12,12,0
CR-Newburyport,,Newburyport/Rockport Line,Commuter Rail,,Commuter Rail,2018-04-01,PEAK,Headway / Schedule Adherence,0,0,0
CR-Newburyport,,Newburyport/Rockport Line,Commuter Rail,,Commuter Rail,2018-04-01,OFF_PEAK,Headway / Schedule Adherence,13,14,0
CR-Providence,,Providence/Stoughton Line,Commuter Rail,,Commuter Rail,2018-04-01,OFF_PEAK,Headway / Schedule Adherence,11,14,0
CR-Providence,,Providence/Stoughton Line,Commuter Rail,,Commuter Rail,2018-04-01,PEAK,Headway / Schedule Adherence,0,0,0
1,1,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-04-01,OFF_PEAK,Headway / Schedule Adherence,762,1125,
8,8,,Local Bus,Other Bus,Bus,2018-04-01,OFF_PEAK,Headway / Schedule Adherence,334,486,
9,9,,Local Bus,Other Bus,Bus,2018-04-01,OFF_PEAK,Headway / Schedule Adherence,341,441,
10,10,,Local Bus,Other Bus,Bus,2018-04-01,OFF_PEAK,Headway / Schedule Adherence,233,350,
11,11,,Local Bus,Other Bus,Bus,2018-04-01,OFF_PEAK,Headway / Schedule Adherence,328,403,
15,15,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-04-01,OFF_PEAK,Headway / Schedule Adherence,606,742,
16,16,,Local Bus,Other Bus,Bus,2018-04-01,OFF_PEAK,Headway / Schedule Adherence,196,345,
17,17,,Local Bus,Other Bus,Bus,2018-04-01,OFF_PEAK,Headway / Schedule Adherence,133,159,
21,21,,Local Bus,Other Bus,Bus,2018-04-01,OFF_PEAK,Headway / Schedule Adherence,141,155,
22,22,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-04-01,OFF_PEAK,Headway / Schedule Adherence,694,946,
