gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
Red,,Red Line,Rapid Transit,Red Line,Rail,2018-05-01,PEAK,Passenger Wait Time,75010.96835,82233.01369,
Red,,Red Line,Rapid Transit,Red Line,Rail,2018-05-01,OFF_PEAK,Passenger Wait Time,98116.80135,105853.6235,
Orange,,Orange Line,Rapid Transit,Orange Line,Rail,2018-05-01,PEAK,Passenger Wait Time,75078.60125,80429.57666,
Orange,,Orange Line,Rapid Transit,Orange Line,Rail,2018-05-01,OFF_PEAK,Passenger Wait Time,99772.95778,104964.4066,
Green-B,B,Green Line B,Rapid Transit,Green Line,Rail,2018-05-01,OFF_PEAK,Passenger Wait Time,20473.51622,24966.60345,
Green-B,B,Green Line B,Rapid Transit,Green Line,Rail,2018-05-01,PEAK,Passenger Wait Time,10860.69959,14042.61253,
Green-C,C,Green Line C,Rapid Transit,Green Line,Rail,2018-05-01,OFF_PEAK,Passenger Wait Time,21908.53604,27374.16864,
Green-C,C,Green Line C,Rapid Transit,Green Line,Rail,2018-05-01,PEAK,Passenger Wait Time,15142.56228,18881.47704,
Green-D,D,Green Line D,Rapid Transit,Green Line,Rail,2018-05-01,PEAK,Passenger Wait Time,18890.61046,22655.60603,
Green-D,D,Green Line D,Rapid Transit,Green Line,Rail,2018-05-01,OFF_PEAK,Passenger Wait Time,28116.02036,34210.05137,
Green-E,E,Green Line E,Rapid Transit,Green Line,Rail,2018-05-01,PEAK,Passenger Wait Time,18249.18556,23427.99343,
Green-E,E,Green Line E,Rapid Transit,Green Line,Rail,2018-05-01,OFF_PEAK,Passenger Wait Time,27568.58083,35992.54303,
Blue,,Blue Line,Rapid Transit,Blue Line,Rail,2018-05-01,PEAK,Passenger Wait Time,20048.5786,20650.78297,
Blue,,Blue Line,Rapid Transit,Blue Line,Rail,2018-05-01,OFF_PEAK,Passenger Wait Time,34785.90644,36751.81949,
741,SL1,Silver Line SL1,Rapid Transit,Silver Line,Bus,2018-05-01,PEAK,Headway / Schedule Adherence,163,209,
741,SL1,Silver Line SL1,Rapid Transit,Silver Line,Bus,2018-05-01,OFF_PEAK,Headway / Schedule Adherence,689,815,
742,SL2,Silver Line SL2,Rapid Transit,Silver Line,Bus,2018-05-01,OFF_PEAK,Headway / Schedule Adherence,425,514,
742,SL2,Silver Line SL2,Rapid Transit,Silver Line,Bus,2018-05-01,PEAK,Headway / Schedule Adherence,257,303,
751,SL4,Silver Line SL4,Rapid Transit,Silver Line,Bus,2018-05-01,OFF_PEAK,Headway / Schedule Adherence,1054,1345,
751,SL4,Silver Line SL4,Rapid Transit,Silver Line,Bus,2018-05-01,PEAK,Headway / Schedule Adherence,397,497,
749,SL5,Silver Line SL5,Rapid Transit,Silver Line,Bus,2018-05-01,PEAK,Headway / Schedule Adherence,641,860,
749,SL5,Silver Line SL5,Rapid Transit,Silver Line,Bus,2018-05-01,OFF_PEAK,Headway / Schedule Adherence,1736,2306,
CR-Fairmount,,Fairmount Line,Commuter Rail,,Commuter Rail,2018-05-01,PEAK,Headway / Schedule Adherence,9,9,0
CR-Fairmount,,Fairmount Line,Commuter Rail,,Commuter Rail,2018-05-01,OFF_PEAK,Headway / Schedule Adherence,28,28,0
CR-Fitchburg,,Fitchburg Line,Commuter Rail,,Commuter Rail,2018-05-01,OFF_PEAK,Headway / Schedule Adherence,23,24,0
CR-Fitchburg,,Fitchburg Line,Commuter Rail,,Commuter Rail,2018-05-01,PEAK,Headway / Schedule Adherence,13,14,0
CR-Worcester,,Framingham/Worcester Line,Commuter Rail,,Commuter Rail,2018-05-01,PEAK,Headway / Schedule Adherence,16,21,0
CR-Worcester,,Framingham/Worcester Line,Commuter Rail,,Commuter Rail,2018-05-01,OFF_PEAK,Headway / Schedule Adherence,28,34,0
CR-Franklin,,Franklin Line,Commuter Rail,,Commuter Rail,2018-05-01,PEAK,Headway / Schedule Adherence,14,15,0
CR-Franklin,,Franklin Line,Commuter Rail,,Commuter Rail,2018-05-01,OFF_PEAK,Headway / Schedule Adherence,22,26,0
CR-Greenbush,,Greenbush Line,Commuter Rail,,Commuter Rail,2018-05-01,PEAK,Headway / Schedule Adherence,10,10,0
CR-Greenbush,,Greenbush Line,Commuter Rail,,Commuter Rail,2018-05-01,OFF_PEAK,Headway / Schedule Adherence,13,14,0
CR-Haverhill,,Haverhill Line,Commuter Rail,,Commuter Rail,2018-05-01,PEAK,Headway / Schedule Adherence,11,16,3
CR-Haverhill,,Haverhill Line,Commuter Rail,,Commuter Rail,2018-05-01,OFF_PEAK,Headway / Schedule Adherence,22,28,3
CR-Kingston,,Kingston/Plymouth Line,Commuter Rail,,Commuter Rail,2018-05-01,PEAK,Headway / Schedule Adherence,9,9,0
CR-Kingston,,Kingston/Plymouth Line,Commuter Rail,,Commuter Rail,2018-05-01,OFF_PEAK,Headway / Schedule Adherence,13,15,0
CR-Lowell,,Lowell Line,Commuter Rail,,Commuter Rail,2018-05-01,PEAK,Headway / Schedule Adherence,11,15,0
CR-Lowell,,Lowell Line,Commuter Rail,,Commuter Rail,2018-05-01,OFF_PEAK,Headway / Schedule Adherence,34,35,0
CR-Middleborough,,Middleborough/Lakeville Line,Commuter Rail,,Commuter Rail,2018-05-01,OFF_PEAK,Headway / Schedule Adherence,10,14,0
CR-Middleborough,,Middleborough/Lakeville Line,Commuter Rail,,Commuter Rail,2018-05-01,PEAK,Headway / Schedule Adherence,9,10,0
CR-Needham,,Needham Line,Commuter Rail,,Commuter Rail,2018-05-01,OFF_PEAK,Headway / Schedule Adherence,16,22,0
CR-Needham,,Needham Line,Commuter Rail,,Commuter Rail,2018-05-01,PEAK,Headway / Schedule Adherence,5,10,0
CR-Newburyport,,Newburyport/Rockport Line,Commuter Rail,,Commuter Rail,2018-05-01,PEAK,Headway / Schedule Adherence,13,13,0
CR-Newburyport,,Newburyport/Rockport Line,Commuter Rail,,Commuter Rail,2018-05-01,OFF_PEAK,Headway / Schedule Adherence,23,24,0
CR-Newburyport,,Newburyport/Rockport Line,Commuter Rail,,Commuter Rail,2018-05-01,OFF_PEAK,Headway / Schedule Adherence,18,20,0
CR-Newburyport,,Newburyport/Rockport Line,Commuter Rail,,Commuter Rail,2018-05-01,PEAK,Headway / Schedule Adherence,10,10,0
CR-Providence,,Providence/Stoughton Line,Commuter Rail,,Commuter Rail,2018-05-01,OFF_PEAK,Headway / Schedule Adherence,17,17,0
CR-Providence,,Providence/Stoughton Line,Commuter Rail,,Commuter Rail,2018-05-01,PEAK,Headway / Schedule Adherence,9,10,0
CR-Providence,,Providence/Stoughton Line,Commuter Rail,,Commuter Rail,2018-05-01,OFF_PEAK,Headway / Schedule Adherence,29,30,0
