gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
Red,,Red Line,Rapid Transit,Red Line,Rail,2018-07-01,OFF_PEAK,Passenger Wait Time,68185.91994,75885.36976,
Orange,,Orange Line,Rapid Transit,Orange Line,Rail,2018-07-01,OFF_PEAK,Passenger Wait Time,30616.50511,36497.60535,
Green-B,B,Green Line B,Rapid Transit,Green Line,Rail,2018-07-01,OFF_PEAK,Passenger Wait Time,13256.8178,18331.15151,
Green-C,C,Green Line C,Rapid Transit,Green Line,Rail,2018-07-01,OFF_PEAK,Passenger Wait Time,22629.01614,30568.9479,
Green-D,D,Green Line D,Rapid Transit,Green Line,Rail,2018-07-01,OFF_PEAK,Passenger Wait Time,21288.65633,26743.39987,
Green-E,E,Green Line E,Rapid Transit,Green Line,Rail,2018-07-01,OFF_PEAK,Passenger Wait Time,26534.97771,32381.855,
Blue,,Blue Line,Rapid Transit,Blue Line,Rail,2018-07-01,OFF_PEAK,Passenger Wait Time,30785.30292,31719.49861,
741,SL1,Silver Line SL1,Rapid Transit,Silver Line,Bus,2018-07-01,OFF_PEAK,Headway / Schedule Adherence,1257,1441,
742,SL2,Silver Line SL2,Rapid Transit,Silver Line,Bus,2018-07-01,OFF_PEAK,Headway / Schedule Adherence,240,303,
751,SL4,Silver Line SL4,Rapid Transit,Silver Line,Bus,2018-07-01,OFF_PEAK,Headway / Schedule Adherence,1178,1375,
749,SL5,Silver Line SL5,Rapid Transit,Silver Line,Bus,2018-07-01,OFF_PEAK,Headway / Schedule Adherence,2118,2841,
CR-Fairmount,,Fairmount Line,Commuter Rail,,Commuter Rail,2018-07-01,OFF_PEAK,Headway / Schedule Adherence,29,32,0
CR-Fairmount,,Fairmount Line,Commuter Rail,,Commuter Rail,2018-07-01,PEAK,Headway / Schedule Adherence,0,0,0
CR-Fitchburg,,Fitchburg Line,Commuter Rail,,Commuter Rail,2018-07-01,OFF_PEAK,Headway / Schedule Adherence,8,14,0
CR-Fitchburg,,Fitchburg Line,Commuter Rail,,Commuter Rail,2018-07-01,PEAK,Headway / Schedule Adherence,0,0,0
CR-Franklin,,Franklin Line,Commuter Rail,,Commuter Rail,2018-07-01,OFF_PEAK,Headway / Schedule Adherence,10,14,0
CR-Franklin,,Franklin Line,Commuter Rail,,Commuter Rail,2018-07-01,PEAK,Headway / Schedule Adherence,0,0,0
CR-Greenbush,,Greenbush Line,Commuter Rail,,Commuter Rail,2018-07-01,OFF_PEAK,Headway / Schedule Adherence,14,16,0
CR-Greenbush,,Greenbush Line,Commuter Rail,,Commuter Rail,2018-07-01,PEAK,Headway / Schedule Adherence,0,0,0
CR-Haverhill,,Haverhill Line,Commuter Rail,,Commuter Rail,2018-07-01,PEAK,Headway / Schedule Adherence,0,0,0
CR-Haverhill,,Haverhill Line,Commuter Rail,,Commuter Rail,2018-07-01,OFF_PEAK,Headway / Schedule Adherence,5,12,0
CR-Kingston,,Kingston/Plymouth Line,Commuter Rail,,Commuter Rail,2018-07-01,PEAK,Headway / Schedule Adherence,0,0,0
CR-Kingston,,Kingston/Plymouth Line,Commuter Rail,,Commuter Rail,2018-07-01,OFF_PEAK,Headway / Schedule Adherence,15,16,0
CR-Lowell,,Lowell Line,Commuter Rail,,Commuter Rail,2018-07-01,OFF_PEAK,Headway / Schedule Adherence,15,16,0
