gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
Red,,Red Line,Rapid Transit,Red Line,Rail,2018-08-01,PEAK,Passenger Wait Time,72273.27623,76981.25585,
Red,,Red Line,Rapid Transit,Red Line,Rail,2018-08-01,OFF_PEAK,Passenger Wait Time,96915.38283,104923.3556,
Orange,,Orange Line,Rapid Transit,Orange Line,Rail,2018-08-01,PEAK,Passenger Wait Time,42039.20981,45515.01127,
Orange,,Orange Line,Rapid Transit,Orange Line,Rail,2018-08-01,OFF_PEAK,Passenger Wait Time,59585.51323,65058.71283,
Green-B,B,Green Line B,Rapid Transit,Green Line,Rail,2018-08-01,OFF_PEAK,Passenger Wait Time,4464.309334,5936.686623,
Green-B,B,Green Line B,Rapid Transit,Green Line,Rail,2018-08-01,PEAK,Passenger Wait Time,1968.373587,2668.185422,
Green-C,C,Green Line C,Rapid Transit,Green Line,Rail,2018-08-01,OFF_PEAK,Passenger Wait Time,20453.07763,27882.65378,
Green-C,C,Green Line C,Rapid Transit,Green Line,Rail,2018-08-01,PEAK,Passenger Wait Time,11210.61233,16523.78645,
Green-D,D,Green Line D,Rapid Transit,Green Line,Rail,2018-08-01,PEAK,Passenger Wait Time,13909.12476,20239.69847,
Green-D,D,Green Line D,Rapid Transit,Green Line,Rail,2018-08-01,OFF_PEAK,Passenger Wait Time,23467.64738,30433.49586,
Green-E,E,Green Line E,Rapid Transit,Green Line,Rail,2018-08-01,PEAK,Passenger Wait Time,17515.41833,24600.84488,
Green-E,E,Green Line E,Rapid Transit,Green Line,Rail,2018-08-01,OFF_PEAK,Passenger Wait Time,28859.92723,38398.49238,
Blue,,Blue Line,Rapid Transit,Blue Line,Rail,2018-08-01,PEAK,Passenger Wait Time,16236.1898,16897.13327,
Blue,,Blue Line,Rapid Transit,Blue Line,Rail,2018-08-01,OFF_PEAK,Passenger Wait Time,29622.25884,31839.95119,
741,SL1,Silver Line SL1,Rapid Transit,Silver Line,Bus,2018-08-01,PEAK,Headway / Schedule Adherence,222,272,
741,SL1,Silver Line SL1,Rapid Transit,Silver Line,Bus,2018-08-01,OFF_PEAK,Headway / Schedule Adherence,946,1159,
742,SL2,Silver Line SL2,Rapid Transit,Silver Line,Bus,2018-08-01,PEAK,Headway / Schedule Adherence,271,317,
742,SL2,Silver Line SL2,Rapid Transit,Silver Line,Bus,2018-08-01,OFF_PEAK,Headway / Schedule Adherence,303,398,
751,SL4,Silver Line SL4,Rapid Transit,Silver Line,Bus,2018-08-01,OFF_PEAK,Headway / Schedule Adherence,1021,1353,
751,SL4,Silver Line SL4,Rapid Transit,Silver Line,Bus,2018-08-01,PEAK,Headway / Schedule Adherence,357,498,
749,SL5,Silver Line SL5,Rapid Transit,Silver Line,Bus,2018-08-01,OFF_PEAK,Headway / Schedule Adherence,1676,2291,
749,SL5,Silver Line SL5,Rapid Transit,Silver Line,Bus,2018-08-01,PEAK,Headway / Schedule Adherence,657,845,
CR-Fairmount,,Fairmount Line,Commuter Rail,,Commuter Rail,2018-08-01,OFF_PEAK,Headway / Schedule Adherence,23,30,5
CR-Fairmount,,Fairmount Line,Commuter Rail,,Commuter Rail,2018-08-01,PEAK,Headway / Schedule Adherence,4,9,5
CR-Fitchburg,,Fitchburg Line,Commuter Rail,,Commuter Rail,2018-08-01,OFF_PEAK,Headway / Schedule Adherence,24,24,0
CR-Fitchburg,,Fitchburg Line,Commuter Rail,,Commuter Rail,2018-08-01,PEAK,Headway / Schedule Adherence,14,14,0
CR-Worcester,,Framingham/Worcester Line,Commuter Rail,,Commuter Rail,2018-08-01,PEAK,Headway / Schedule Adherence,12,21,0
CR-Worcester,,Framingham/Worcester Line,Commuter Rail,,Commuter Rail,2018-08-01,OFF_PEAK,Headway / Schedule Adherence,30,34,0
CR-Franklin,,Franklin Line,Commuter Rail,,Commuter Rail,2018-08-01,PEAK,Headway / Schedule Adherence,7,15,2
CR-Franklin,,Franklin Line,Commuter Rail,,Commuter Rail,2018-08-01,OFF_PEAK,Headway / Schedule Adherence,16,26,2
CR-Greenbush,,Greenbush Line,Commuter Rail,,Commuter Rail,2018-08-01,PEAK,Headway / Schedule Adherence,6,10,0
CR-Greenbush,,Greenbush Line,Commuter Rail,,Commuter Rail,2018-08-01,OFF_PEAK,Headway / Schedule Adherence,14,14,0
CR-Haverhill,,Haverhill Line,Commuter Rail,,Commuter Rail,2018-08-01,OFF_PEAK,Headway / Schedule Adherence,27,28,0
CR-Haverhill,,Haverhill Line,Commuter Rail,,Commuter Rail,2018-08-01,PEAK,Headway / Schedule Adherence,14,16,0
