gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
Red,,Red Line,Rapid Transit,Red Line,Rail,2018-09-01,OFF_PEAK,Passenger Wait Time,92156.17392,103526.0555,
Orange,,Orange Line,Rapid Transit,Orange Line,Rail,2018-09-01,OFF_PEAK,Passenger Wait Time,19495.51179,27318.46085,
Green-B,B,Green Line B,Rapid Transit,Green Line,Rail,2018-09-01,OFF_PEAK,Passenger Wait Time,21608.01368,28732.85815,
Green-C,C,Green Line C,Rapid Transit,Green Line,Rail,2018-09-01,OFF_PEAK,Passenger Wait Time,30545.58126,40691.96676,
Green-D,D,Green Line D,Rapid Transit,Green Line,Rail,2018-09-01,OFF_PEAK,Passenger Wait Time,27833.34162,36116.65575,
Green-E,E,Green Line E,Rapid Transit,Green Line,Rail,2018-09-01,OFF_PEAK,Passenger Wait Time,33003.02804,43613.98415,
Blue,,Blue Line,Rapid Transit,Blue Line,Rail,2018-09-01,OFF_PEAK,Passenger Wait Time,39033.57857,41728.15059,
741,SL1,Silver Line SL1,Rapid Transit,Silver Line,Bus,2018-09-01,OFF_PEAK,Headway / Schedule Adherence,901,1140,
742,SL2,Silver Line SL2,Rapid Transit,Silver Line,Bus,2018-09-01,OFF_PEAK,Headway / Schedule Adherence,438,496,
751,SL4,Silver Line SL4,Rapid Transit,Silver Line,Bus,2018-09-01,OFF_PEAK,Headway / Schedule Adherence,740,1268,
749,SL5,Silver Line SL5,Rapid Transit,Silver Line,Bus,2018-09-01,OFF_PEAK,Headway / Schedule Adherence,1724,2314,
CR-Fitchburg,,Fitchburg Line,Commuter Rail,,Commuter Rail,2018-09-01,PEAK,Headway / Schedule Adherence,0,0,0
CR-Fitchburg,,Fitchburg Line,Commuter Rail,,Commuter Rail,2018-09-01,OFF_PEAK,Headway / Schedule Adherence,15,15,0
CR-Worcester,,Framingham/Worcester Line,Commuter Rail,,Commuter Rail,2018-09-01,OFF_PEAK,Headway / Schedule Adherence,18,19,0
CR-Worcester,,Framingham/Worcester Line,Commuter Rail,,Commuter Rail,2018-09-01,PEAK,Headway / Schedule Adherence,0,0,0
CR-Franklin,,Franklin Line,Commuter Rail,,Commuter Rail,2018-09-01,PEAK,Headway / Schedule Adherence,0,0,0
CR-Franklin,,Franklin Line,Commuter Rail,,Commuter Rail,2018-09-01,OFF_PEAK,Headway / Schedule Adherence,18,18,0
CR-Greenbush,,Greenbush Line,Commuter Rail,,Commuter Rail,2018-09-01,OFF_PEAK,Headway / Schedule Adherence,16,16,0
CR-Greenbush,,Greenbush Line,Commuter Rail,,Commuter Rail,2018-09-01,PEAK,Headway / Schedule Adherence,0,0,0
CR-Haverhill,,Haverhill Line,Commuter Rail,,Commuter Rail,2018-09-01,PEAK,Headway / Schedule Adherence,0,0,0
CR-Haverhill,,Haverhill Line,Commuter Rail,,Commuter Rail,2018-09-01,OFF_PEAK,Headway / Schedule Adherence,13,13,0
CR-Kingston,,Kingston/Plymouth Line,Commuter Rail,,Commuter Rail,2018-09-01,PEAK,Headway / Schedule Adherence,0,0,0
CR-Kingston,,Kingston/Plymouth Line,Commuter Rail,,Commuter Rail,2018-09-01,OFF_PEAK,Headway / Schedule Adherence,15,16,0
CR-Lowell,,Lowell Line,Commuter Rail,,Commuter Rail,2018-09-01,OFF_PEAK,Headway / Schedule Adherence,1,1,0
CR-Lowell,,Lowell Line,Commuter Rail,,Commuter Rail,2018-09-01,PEAK,Headway / Schedule Adherence,0,0,0
CR-Middleborough,,Middleborough/Lakeville Line,Commuter Rail,,Commuter Rail,2018-09-01,OFF_PEAK,Headway / Schedule Adherence,14,16,0
CR-Middleborough,,Middleborough/Lakeville Line,Commuter Rail,,Commuter Rail,2018-09-01,PEAK,Headway / Schedule Adherence,0,0,0
CR-Newburyport,,Newburyport/Rockport Line,Commuter Rail,,Commuter Rail,2018-09-01,OFF_PEAK,Headway / Schedule Adherence,12,13,0
CR-Newburyport,,Newburyport/Rockport Line,Commuter Rail,,Commuter Rail,2018-09-01,OFF_PEAK,Headway / Schedule Adherence,12,15,0
CR-Newburyport,,Newburyport/Rockport Line,Commuter Rail,,Commuter Rail,2018-09-01,PEAK,Headway / Schedule Adherence,0,0,0
CR-Newburyport,,Newburyport/Rockport Line,Commuter Rail,,Commuter Rail,2018-09-01,PEAK,Headway / Schedule Adherence,0,0,0
CR-Providence,,Providence/Stoughton Line,Commuter Rail,,Commuter Rail,2018-09-01,OFF_PEAK,Headway / Schedule Adherence,13,18,0
CR-Providence,,Providence/Stoughton Line,Commuter Rail,,Commuter Rail,2018-09-01,PEAK,Headway / Schedule Adherence,0,0,0
1,1,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-09-01,OFF_PEAK,Headway / Schedule Adherence,860,1245,
5,5,,Limited Service,Other Bus,Bus,2018-09-01,OFF_PEAK,Headway / Schedule Adherence,23,42,
7,7,,Local Bus,Other Bus,Bus,2018-09-01,OFF_PEAK,Headway / Schedule Adherence,162,216,
8,8,,Local Bus,Other Bus,Bus,2018-09-01,OFF_PEAK,Headway / Schedule Adherence,191,471,
9,9,,Local Bus,Other Bus,Bus,2018-09-01,OFF_PEAK,Headway / Schedule Adherence,410,584,
10,10,,Local Bus,Other Bus,Bus,2018-09-01,OFF_PEAK,Headway / Schedule Adherence,267,523,
11,11,,Local Bus,Other Bus,Bus,2018-09-01,OFF_PEAK,Headway / Schedule Adherence,432,593,
14,14,,Local Bus,Other Bus,Bus,2018-09-01,OFF_PEAK,Headway / Schedule Adherence,73,374,
15,15,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-09-01,OFF_PEAK,Headway / Schedule Adherence,445,732,
16,16,,Local Bus,Other Bus,Bus,2018-09-01,OFF_PEAK,Headway / Schedule Adherence,169,388,
17,17,,Local Bus,Other Bus,Bus,2018-09-01,OFF_PEAK,Headway / Schedule Adherence,195,367,
18,18,,Local Bus,Other Bus,Bus,2018-09-01,OFF_PEAK,Headway / Schedule Adherence,36,68,
21,21,,Local Bus,Other Bus,Bus,2018-09-01,OFF_PEAK,Headway / Schedule Adherence,141,276,
22,22,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-09-01,OFF_PEAK,Headway / Schedule Adherence,643,956,
23,23,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-09-01,OFF_PEAK,Headway / Schedule Adherence,955,1450,
24,24,,Local Bus,Other Bus,Bus,2018-09-01,OFF_PEAK,Headway / Schedule Adherence,263,418,
26,26,,Local Bus,Other Bus,Bus,2018-09-01,OFF_PEAK,Headway / Schedule Adherence,149,244,
28,28,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-09-01,OFF_PEAK,Headway / Schedule Adherence,1229,1769,
29,29,,Local Bus,Other Bus,Bus,2018-09-01,OFF_PEAK,Headway / Schedule Adherence,97,164,
30,30,,Local Bus,Other Bus,Bus,2018-09-01,OFF_PEAK,Headway / Schedule Adherence,93,232,
31,31,,Local Bus,Other Bus,Bus,2018-09-01,OFF_PEAK,Headway / Schedule Adherence,259,464,
32,32,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-09-01,OFF_PEAK,Headway / Schedule Adherence,636,881,
33,33,,Local Bus,Other Bus,Bus,2018-09-01,OFF_PEAK,Headway / Schedule Adherence,98,119,
34,34,,Local Bus,Other Bus,Bus,2018-09-01,OFF_PEAK,Headway / Schedule Adherence,359,494,
34E,34E,,Local Bus,Other Bus,Bus,2018-09-01,OFF_PEAK,Headway / Schedule Adherence,398,758,
35,35,,Local Bus,Other Bus,Bus,2018-09-01,OFF_PEAK,Headway / Schedule Adherence,203,318,
36,36,,Local Bus,Other Bus,Bus,2018-09-01,OFF_PEAK,Headway / Schedule Adherence,291,465,
37,37,,Local Bus,Other Bus,Bus,2018-09-01,OFF_PEAK,Headway / Schedule Adherence,177,228,
38,38,,Local Bus,Other Bus,Bus,2018-09-01,OFF_PEAK,Headway / Schedule Adherence,191,248,
