gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
Red,,Red Line,Rapid Transit,Red Line,Rail,2018-10-01,OFF_PEAK,Passenger Wait Time,98189.84077,105332.4332,
Red,,Red Line,Rapid Transit,Red Line,Rail,2018-10-01,PEAK,Passenger Wait Time,99097.44404,107059.2724,
Orange,,Orange Line,Rapid Transit,Orange Line,Rail,2018-10-01,PEAK,Passenger Wait Time,72289.42241,78154.74576,
Orange,,Orange Line,Rapid Transit,Orange Line,Rail,2018-10-01,OFF_PEAK,Passenger Wait Time,73605.83002,80260.69331,
Green-B,B,Green Line B,Rapid Transit,Green Line,Rail,2018-10-01,PEAK,Passenger Wait Time,7450.332992,9175.573589,
Green-B,B,Green Line B,Rapid Transit,Green Line,Rail,2018-10-01,OFF_PEAK,Passenger Wait Time,10350.65886,12821.16565,
Green-C,C,Green Line C,Rapid Transit,Green Line,Rail,2018-10-01,OFF_PEAK,Passenger Wait Time,12942.23808,16603.14666,
Green-C,C,Green Line C,Rapid Transit,Green Line,Rail,2018-10-01,PEAK,Passenger Wait Time,10284.88549,12509.35235,
Green-D,D,Green Line D,Rapid Transit,Green Line,Rail,2018-10-01,PEAK,Passenger Wait Time,12381.184,14970.79086,
Green-D,D,Green Line D,Rapid Transit,Green Line,Rail,2018-10-01,OFF_PEAK,Passenger Wait Time,14467.1823,18050.17635,
Green-E,E,Green Line E,Rapid Transit,Green Line,Rail,2018-10-01,PEAK,Passenger Wait Time,16298.5716,19708.46938,
Green-E,E,Green Line E,Rapid Transit,Green Line,Rail,2018-10-01,OFF_PEAK,Passenger Wait Time,20329.37606,24769.40061,
Blue,,Blue Line,Rapid Transit,Blue Line,Rail,2018-10-01,PEAK,Passenger Wait Time,27629.46668,28191.9992,
Blue,,Blue Line,Rapid Transit,Blue Line,Rail,2018-10-01,OFF_PEAK,Passenger Wait Time,32820.85018,34553.98177,
741,SL1,Silver Line SL1,Rapid Transit,Silver Line,Bus,2018-10-01,OFF_PEAK,Headway / Schedule Adherence,842,1074,
741,SL1,Silver Line SL1,Rapid Transit,Silver Line,Bus,2018-10-01,PEAK,Headway / Schedule Adherence,276,329,
742,SL2,Silver Line SL2,Rapid Transit,Silver Line,Bus,2018-10-01,OFF_PEAK,Headway / Schedule Adherence,530,640,
742,SL2,Silver Line SL2,Rapid Transit,Silver Line,Bus,2018-10-01,PEAK,Headway / Schedule Adherence,250,301,
751,SL4,Silver Line SL4,Rapid Transit,Silver Line,Bus,2018-10-01,PEAK,Headway / Schedule Adherence,319,481,
751,SL4,Silver Line SL4,Rapid Transit,Silver Line,Bus,2018-10-01,OFF_PEAK,Headway / Schedule Adherence,1094,1335,
749,SL5,Silver Line SL5,Rapid Transit,Silver Line,Bus,2018-10-01,PEAK,Headway / Schedule Adherence,573,848,
749,SL5,Silver Line SL5,Rapid Transit,Silver Line,Bus,2018-10-01,OFF_PEAK,Headway / Schedule Adherence,1718,2235,
CR-Fairmount,,Fairmount Line,Commuter Rail,,Commuter Rail,2018-10-01,OFF_PEAK,Headway / Schedule Adherence,27,30,0
CR-Fairmount,,Fairmount Line,Commuter Rail,,Commuter Rail,2018-10-01,PEAK,Headway / Schedule Adherence,7,9,0
CR-Fitchburg,,Fitchburg Line,Commuter Rail,,Commuter Rail,2018-10-01,PEAK,Headway / Schedule Adherence,13,14,0
CR-Fitchburg,,Fitchburg Line,Commuter Rail,,Commuter Rail,2018-10-01,OFF_PEAK,Headway / Schedule Adherence,17,23,0
CR-Worcester,,Framingham/Worcester Line,Commuter Rail,,Commuter Rail,2018-10-01,OFF_PEAK,Headway / Schedule Adherence,32,33,0
CR-Worcester,,Framingham/Worcester Line,Commuter Rail,,Commuter Rail,2018-10-01,PEAK,Headway / Schedule Adherence,18,21,0
CR-Franklin,,Franklin Line,Commuter Rail,,Commuter Rail,2018-10-01,OFF_PEAK,Headway / Schedule Adherence,24,26,0
CR-Franklin,,Franklin Line,Commuter Rail,,Commuter Rail,2018-10-01,PEAK,Headway / Schedule Adherence,13,15,0
CR-Greenbush,,Greenbush Line,Commuter Rail,,Commuter Rail,2018-10-01,PEAK,Headway / Schedule Adherence,9,10,0
CR-Greenbush,,Greenbush Line,Commuter Rail,,Commuter Rail,2018-10-01,OFF_PEAK,Headway / Schedule Adherence,13,14,0
CR-Haverhill,,Haverhill Line,Commuter Rail,,Commuter Rail,2018-10-01,OFF_PEAK,Headway / Schedule Adherence,25,27,0
CR-Haverhill,,Haverhill Line,Commuter Rail,,Commuter Rail,2018-10-01,PEAK,Headway / Schedule Adherence,15,16,0
CR-Kingston,,Kingston/Plymouth Line,Commuter Rail,,Commuter Rail,2018-10-01,PEAK,Headway / Schedule Adherence,9,9,0
CR-Kingston,,Kingston/Plymouth Line,Commuter Rail,,Commuter Rail,2018-10-01,OFF_PEAK,Headway / Schedule Adherence,13,15,0
CR-Lowell,,Lowell Line,Commuter Rail,,Commuter Rail,2018-10-01,OFF_PEAK,Headway / Schedule Adherence,29,34,0
CR-Lowell,,Lowell Line,Commuter Rail,,Commuter Rail,2018-10-01,PEAK,Headway / Schedule Adherence,10,15,0
CR-Middleborough,,Middleborough/Lakeville Line,Commuter Rail,,Commuter Rail,2018-10-01,OFF_PEAK,Headway / Schedule Adherence,14,14,0
CR-Middleborough,,Middleborough/Lakeville Line,Commuter Rail,,Commuter Rail,2018-10-01,PEAK,Headway / Schedule Adherence,10,10,0
CR-Needham,,Needham Line,Commuter Rail,,Commuter Rail,2018-10-01,OFF_PEAK,Headway / Schedule Adherence,21,22,0
CR-Needham,,Needham Line,Commuter Rail,,Commuter Rail,2018-10-01,PEAK,Headway / Schedule Adherence,8,10,0
CR-Newburyport,,Newburyport/Rockport Line,Commuter Rail,,Commuter Rail,2018-10-01,OFF_PEAK,Headway / Schedule Adherence,20,23,0
CR-Newburyport,,Newburyport/Rockport Line,Commuter Rail,,Commuter Rail,2018-10-01,PEAK,Headway / Schedule Adherence,3,10,1
CR-Newburyport,,Newburyport/Rockport Line,Commuter Rail,,Commuter Rail,2018-10-01,OFF_PEAK,Headway / Schedule Adherence,11,19,1
CR-Newburyport,,Newburyport/Rockport Line,Commuter Rail,,Commuter Rail,2018-10-01,PEAK,Headway / Schedule Adherence,10,13,0
CR-Providence,,Providence/Stoughton Line,Commuter Rail,,Commuter Rail,2018-10-01,PEAK,Headway / Schedule Adherence,9,10,0
CR-Providence,,Providence/Stoughton Line,Commuter Rail,,Commuter Rail,2018-10-01,OFF_PEAK,Headway / Schedule Adherence,15,17,0
CR-Providence,,Providence/Stoughton Line,Commuter Rail,,Commuter Rail,2018-10-01,OFF_PEAK,Headway / Schedule Adherence,27,29,0
CR-Providence,,Providence/Stoughton Line,Commuter Rail,,Commuter Rail,2018-10-01,PEAK,Headway / Schedule Adherence,12,15,0
701,CT1,,Local Bus,Other Bus,Bus,2018-10-01,OFF_PEAK,Headway / Schedule Adherence,157,342,
701,CT1,,Local Bus,Other Bus,Bus,2018-10-01,PEAK,Headway / Schedule Adherence,109,200,
747,CT2,,Local Bus,Other Bus,Bus,2018-10-01,PEAK,Headway / Schedule Adherence,115,272,
747,CT2,,Local Bus,Other Bus,Bus,2018-10-01,OFF_PEAK,Headway / Schedule Adherence,157,420,
708,CT3,,Local Bus,Other Bus,Bus,2018-10-01,OFF_PEAK,Headway / Schedule Adherence,139,216,
708,CT3,,Local Bus,Other Bus,Bus,2018-10-01,PEAK,Headway / Schedule Adherence,106,169,
1,1,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-10-01,OFF_PEAK,Headway / Schedule Adherence,967,1347,
1,1,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-10-01,PEAK,Headway / Schedule Adherence,346,521,
4,4,,Limited Service,Other Bus,Bus,2018-10-01,PEAK,Headway / Schedule Adherence,57,138,
4,4,,Limited Service,Other Bus,Bus,2018-10-01,OFF_PEAK,Headway / Schedule Adherence,31,37,
5,5,,Limited Service,Other Bus,Bus,2018-10-01,OFF_PEAK,Headway / Schedule Adherence,34,49,
7,7,,Local Bus,Other Bus,Bus,2018-10-01,OFF_PEAK,Headway / Schedule Adherence,312,377,
7,7,,Local Bus,Other Bus,Bus,2018-10-01,PEAK,Headway / Schedule Adherence,267,351,
8,8,,Local Bus,Other Bus,Bus,2018-10-01,PEAK,Headway / Schedule Adherence,83,210,
8,8,,Local Bus,Other Bus,Bus,2018-10-01,OFF_PEAK,Headway / Schedule Adherence,293,530,
9,9,,Local Bus,Other Bus,Bus,2018-10-01,PEAK,Headway / Schedule Adherence,361,431,
9,9,,Local Bus,Other Bus,Bus,2018-10-01,OFF_PEAK,Headway / Schedule Adherence,544,681,
10,10,,Local Bus,Other Bus,Bus,2018-10-01,OFF_PEAK,Headway / Schedule Adherence,289,441,
10,10,,Local Bus,Other Bus,Bus,2018-10-01,PEAK,Headway / Schedule Adherence,98,178,
11,11,,Local Bus,Other Bus,Bus,2018-10-01,PEAK,Headway / Schedule Adherence,263,327,
11,11,,Local Bus,Other Bus,Bus,2018-10-01,OFF_PEAK,Headway / Schedule Adherence,337,499,
14,14,,Local Bus,Other Bus,Bus,2018-10-01,OFF_PEAK,Headway / Schedule Adherence,111,224,
14,14,,Local Bus,Other Bus,Bus,2018-10-01,PEAK,Headway / Schedule Adherence,35,97,
15,15,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-10-01,PEAK,Headway / Schedule Adherence,286,357,
15,15,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-10-01,OFF_PEAK,Headway / Schedule Adherence,584,829,
16,16,,Local Bus,Other Bus,Bus,2018-10-01,OFF_PEAK,Headway / Schedule Adherence,332,572,
16,16,,Local Bus,Other Bus,Bus,2018-10-01,PEAK,Headway / Schedule Adherence,112,243,
17,17,,Local Bus,Other Bus,Bus,2018-10-01,PEAK,Headway / Schedule Adherence,87,139,
17,17,,Local Bus,Other Bus,Bus,2018-10-01,OFF_PEAK,Headway / Schedule Adherence,202,285,
18,18,,Local Bus,Other Bus,Bus,2018-10-01,OFF_PEAK,Headway / Schedule Adherence,38,65,
18,18,,Local Bus,Other Bus,Bus,2018-10-01,PEAK,Headway / Schedule Adherence,20,52,
19,19,,Local Bus,Other Bus,Bus,2018-10-01,PEAK,Headway / Schedule Adherence,120,325,
19,19,,Local Bus,Other Bus,Bus,2018-10-01,OFF_PEAK,Headway / Schedule Adherence,215,381,
21,21,,Local Bus,Other Bus,Bus,2018-10-01,OFF_PEAK,Headway / Schedule Adherence,335,489,
21,21,,Local Bus,Other Bus,Bus,2018-10-01,PEAK,Headway / Schedule Adherence,145,216,
22,22,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-10-01,PEAK,Headway / Schedule Adherence,339,492,
22,22,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-10-01,OFF_PEAK,Headway / Schedule Adherence,856,1126,
23,23,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-10-01,OFF_PEAK,Headway / Schedule Adherence,1133,1569,
23,23,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-10-01,PEAK,Headway / Schedule Adherence,533,640,
24,24,,Local Bus,Other Bus,Bus,2018-10-01,PEAK,Headway / Schedule Adherence,32,81,
