gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
Red,,Red Line,Rapid Transit,Red Line,Rail,2018-11-01,OFF_PEAK,Passenger Wait Time,108668.8096,119305.3762,
Red,,Red Line,Rapid Transit,Red Line,Rail,2018-11-01,PEAK,Passenger Wait Time,103165.4779,109968.2262,
Orange,,Orange Line,Rapid Transit,Orange Line,Rail,2018-11-01,PEAK,Passenger Wait Time,74870.52779,79549.81564,
Orange,,Orange Line,Rapid Transit,Orange Line,Rail,2018-11-01,OFF_PEAK,Passenger Wait Time,87798.7416,94625.32493,
Green-B,B,Green Line B,Rapid Transit,Green Line,Rail,2018-11-01,OFF_PEAK,Passenger Wait Time,10216.64165,13087.68194,
Green-B,B,Green Line B,Rapid Transit,Green Line,Rail,2018-11-01,PEAK,Passenger Wait Time,6804.175439,8845.793624,
Green-C,C,Green Line C,Rapid Transit,Green Line,Rail,2018-11-01,OFF_PEAK,Passenger Wait Time,13500.38268,17291.94313,
Green-C,C,Green Line C,Rapid Transit,Green Line,Rail,2018-11-01,PEAK,Passenger Wait Time,10017.87842,13079.31723,
Green-D,D,Green Line D,Rapid Transit,Green Line,Rail,2018-11-01,OFF_PEAK,Passenger Wait Time,13013.3022,18041.2718,
Green-D,D,Green Line D,Rapid Transit,Green Line,Rail,2018-11-01,PEAK,Passenger Wait Time,9771.055758,13760.80656,
Green-E,E,Green Line E,Rapid Transit,Green Line,Rail,2018-11-01,PEAK,Passenger Wait Time,15592.175,18786.87538,
Green-E,E,Green Line E,Rapid Transit,Green Line,Rail,2018-11-01,OFF_PEAK,Passenger Wait Time,19795.83864,25134.29147,
Blue,,Blue Line,Rapid Transit,Blue Line,Rail,2018-11-01,PEAK,Passenger Wait Time,27695.78358,28858.93245,
Blue,,Blue Line,Rapid Transit,Blue Line,Rail,2018-11-01,OFF_PEAK,Passenger Wait Time,39113.66256,40825.5192,
741,SL1,Silver Line SL1,Rapid Transit,Silver Line,Bus,2018-11-01,OFF_PEAK,Headway / Schedule Adherence,1213,1425,
741,SL1,Silver Line SL1,Rapid Transit,Silver Line,Bus,2018-11-01,PEAK,Headway / Schedule Adherence,273,375,
742,SL2,Silver Line SL2,Rapid Transit,Silver Line,Bus,2018-11-01,OFF_PEAK,Headway / Schedule Adherence,467,554,
742,SL2,Silver Line SL2,Rapid Transit,Silver Line,Bus,2018-11-01,PEAK,Headway / Schedule Adherence,326,390,
751,SL4,Silver Line SL4,Rapid Transit,Silver Line,Bus,2018-11-01,PEAK,Headway / Schedule Adherence,352,481,
751,SL4,Silver Line SL4,Rapid Transit,Silver Line,Bus,2018-11-01,OFF_PEAK,Headway / Schedule Adherence,942,1243,
749,SL5,Silver Line SL5,Rapid Transit,Silver Line,Bus,2018-11-01,PEAK,Headway / Schedule Adherence,616,801,
749,SL5,Silver Line SL5,Rapid Transit,Silver Line,Bus,2018-11-01,OFF_PEAK,Headway / Schedule Adherence,1567,2192,
CR-Fairmount,,Fairmount Line,Commuter Rail,,Commuter Rail,2018-11-01,PEAK,Headway / Schedule Adherence,9,9,0
CR-Fairmount,,Fairmount Line,Commuter Rail,,Commuter Rail,2018-11-01,OFF_PEAK,Headway / Schedule Adherence,30,30,0
CR-Fitchburg,,Fitchburg Line,Commuter Rail,,Commuter Rail,2018-11-01,PEAK,Headway / Schedule Adherence,13,14,0
CR-Fitchburg,,Fitchburg Line,Commuter Rail,,Commuter Rail,2018-11-01,OFF_PEAK,Headway / Schedule Adherence,16,24,0
CR-Worcester,,Framingham/Worcester Line,Commuter Rail,,Commuter Rail,2018-11-01,OFF_PEAK,Headway / Schedule Adherence,30,33,0
CR-Worcester,,Framingham/Worcester Line,Commuter Rail,,Commuter Rail,2018-11-01,PEAK,Headway / Schedule Adherence,16,21,0
CR-Franklin,,Franklin Line,Commuter Rail,,Commuter Rail,2018-11-01,PEAK,Headway / Schedule Adherence,12,15,0
CR-Franklin,,Franklin Line,Commuter Rail,,Commuter Rail,2018-11-01,OFF_PEAK,Headway / Schedule Adherence,20,26,0
CR-Greenbush,,Greenbush Line,Commuter Rail,,Commuter Rail,2018-11-01,OFF_PEAK,Headway / Schedule Adherence,14,14,0
CR-Greenbush,,Greenbush Line,Commuter Rail,,Commuter Rail,2018-11-01,PEAK,Headway / Schedule Adherence,10,10,0
CR-Haverhill,,Haverhill Line,Commuter Rail,,Commuter Rail,2018-11-01,PEAK,Headway / Schedule Adherence,12,16,0
CR-Haverhill,,Haverhill Line,Commuter Rail,,Commuter Rail,2018-11-01,OFF_PEAK,Headway / Schedule Adherence,26,28,0
CR-Kingston,,Kingston/Plymouth Line,Commuter Rail,,Commuter Rail,2018-11-01,OFF_PEAK,Headway / Schedule Adherence,14,15,0
CR-Kingston,,Kingston/Plymouth Line,Commuter Rail,,Commuter Rail,2018-11-01,PEAK,Headway / Schedule Adherence,7,9,0
CR-Lowell,,Lowell Line,Commuter Rail,,Commuter Rail,2018-11-01,PEAK,Headway / Schedule Adherence,12,15,0
CR-Lowell,,Lowell Line,Commuter Rail,,Commuter Rail,2018-11-01,OFF_PEAK,Headway / Schedule Adherence,32,35,0
CR-Middleborough,,Middleborough/Lakeville Line,Commuter Rail,,Commuter Rail,2018-11-01,PEAK,Headway / Schedule Adherence,9,10,0
CR-Middleborough,,Middleborough/Lakeville Line,Commuter Rail,,Commuter Rail,2018-11-01,OFF_PEAK,Headway / Schedule Adherence,14,14,0
CR-Needham,,Needham Line,Commuter Rail,,Commuter Rail,2018-11-01,PEAK,Headway / Schedule Adherence,9,10,0
CR-Needham,,Needham Line,Commuter Rail,,Commuter Rail,2018-11-01,OFF_PEAK,Headway / Schedule Adherence,22,22,0
CR-Newburyport,,Newburyport/Rockport Line,Commuter Rail,,Commuter Rail,2018-11-01,OFF_PEAK,Headway / Schedule Adherence,18,20,0
CR-Newburyport,,Newburyport/Rockport Line,Commuter Rail,,Commuter Rail,2018-11-01,PEAK,Headway / Schedule Adherence,9,13,0
CR-Newburyport,,Newburyport/Rockport Line,Commuter Rail,,Commuter Rail,2018-11-01,PEAK,Headway / Schedule Adherence,8,10,0
CR-Newburyport,,Newburyport/Rockport Line,Commuter Rail,,Commuter Rail,2018-11-01,OFF_PEAK,Headway / Schedule Adherence,18,24,0
CR-Providence,,Providence/Stoughton Line,Commuter Rail,,Commuter Rail,2018-11-01,OFF_PEAK,Headway / Schedule Adherence,15,18,0
CR-Providence,,Providence/Stoughton Line,Commuter Rail,,Commuter Rail,2018-11-01,PEAK,Headway / Schedule Adherence,14,15,0
CR-Providence,,Providence/Stoughton Line,Commuter Rail,,Commuter Rail,2018-11-01,PEAK,Headway / Schedule Adherence,9,10,0
CR-Providence,,Providence/Stoughton Line,Commuter Rail,,Commuter Rail,2018-11-01,OFF_PEAK,Headway / Schedule Adherence,26,28,0
701,CT1,,Local Bus,Other Bus,Bus,2018-11-01,OFF_PEAK,Headway / Schedule Adherence,151,354,
701,CT1,,Local Bus,Other Bus,Bus,2018-11-01,PEAK,Headway / Schedule Adherence,97,213,
747,CT2,,Local Bus,Other Bus,Bus,2018-11-01,PEAK,Headway / Schedule Adherence,83,240,
747,CT2,,Local Bus,Other Bus,Bus,2018-11-01,OFF_PEAK,Headway / Schedule Adherence,204,389,
708,CT3,,Local Bus,Other Bus,Bus,2018-11-01,OFF_PEAK,Headway / Schedule Adherence,116,208,
708,CT3,,Local Bus,Other Bus,Bus,2018-11-01,PEAK,Headway / Schedule Adherence,68,168,
1,1,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-11-01,OFF_PEAK,Headway / Schedule Adherence,967,1295,
1,1,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-11-01,PEAK,Headway / Schedule Adherence,291,424,
4,4,,Limited Service,Other Bus,Bus,2018-11-01,PEAK,Headway / Schedule Adherence,58,140,
4,4,,Limited Service,Other Bus,Bus,2018-11-01,OFF_PEAK,Headway / Schedule Adherence,22,36,
5,5,,Limited Service,Other Bus,Bus,2018-11-01,OFF_PEAK,Headway / Schedule Adherence,32,49,
7,7,,Local Bus,Other Bus,Bus,2018-11-01,OFF_PEAK,Headway / Schedule Adherence,302,402,
7,7,,Local Bus,Other Bus,Bus,2018-11-01,PEAK,Headway / Schedule Adherence,308,358,
8,8,,Local Bus,Other Bus,Bus,2018-11-01,PEAK,Headway / Schedule Adherence,98,218,
8,8,,Local Bus,Other Bus,Bus,2018-11-01,OFF_PEAK,Headway / Schedule Adherence,241,505,
9,9,,Local Bus,Other Bus,Bus,2018-11-01,OFF_PEAK,Headway / Schedule Adherence,478,665,
9,9,,Local Bus,Other Bus,Bus,2018-11-01,PEAK,Headway / Schedule Adherence,303,396,
10,10,,Local Bus,Other Bus,Bus,2018-11-01,PEAK,Headway / Schedule Adherence,123,183,
