gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator,
Red,,Red Line,Rapid Transit,Red Line,Rail,2018-12-01,OFF_PEAK,Passenger Wait Time,33862.26713,45276.48951,,
Orange,,Orange Line,Rapid Transit,Orange Line,Rail,2018-12-01,OFF_PEAK,Passenger Wait Time,64710.36449,68989.75315,,
Green-B,B,Green Line B,Rapid Transit,Green Line,Rail,2018-12-01,OFF_PEAK,Passenger Wait Time,13614.2346,18071.48945,,
Green-C,C,Green Line C,Rapid Transit,Green Line,Rail,2018-12-01,OFF_PEAK,Passenger Wait Time,16129.84048,21404.87791,,
Green-D,D,Green Line D,Rapid Transit,Green Line,Rail,2018-12-01,OFF_PEAK,Passenger Wait Time,3806.540713,5513.485726,,
Green-E,E,Green Line E,Rapid Transit,Green Line,Rail,2018-12-01,OFF_PEAK,Passenger Wait Time,24608.79149,30424.18941,,
Blue,,Blue Line,Rapid Transit,Blue Line,Rail,2018-12-01,OFF_PEAK,Passenger Wait Time,38677.86088,40898.43772,,
741,SL1,Silver Line SL1,Rapid Transit,Silver Line,Bus,2018-12-01,OFF_PEAK,Headway / Schedule Adherence,935,1225,,
742,SL2,Silver Line SL2,Rapid Transit,Silver Line,Bus,2018-12-01,OFF_PEAK,Headway / Schedule Adherence,345,503,,
751,SL4,Silver Line SL4,Rapid Transit,Silver Line,Bus,2018-12-01,OFF_PEAK,Headway / Schedule Adherence,909,1274,,
749,SL5,Silver Line SL5,Rapid Transit,Silver Line,Bus,2018-12-01,OFF_PEAK,Headway / Schedule Adherence,2140,2826,,
CR-Fairmount,,Fairmount Line,Commuter Rail,,Commuter Rail,2018-12-01,OFF_PEAK,Headway / Schedule Adherence,32,32,0,
CR-Fairmount,,Fairmount Line,Commuter Rail,,Commuter Rail,2018-12-01,PEAK,Headway / Schedule Adherence,0,0,0,
CR-Fitchburg,,Fitchburg Line,Commuter Rail,,Commuter Rail,2018-12-01,PEAK,Headway / Schedule Adherence,0,0,0,
CR-Fitchburg,,Fitchburg Line,Commuter Rail,,Commuter Rail,2018-12-01,OFF_PEAK,Headway / Schedule Adherence,11,15,0,
